Escola,Media,Planilha,Num_Valores
PEI EE Profª Dolores B Novaes,1.0596666666666665,plataforma SPeak 2025 por semana até semana 43,3
EE Profº Basílio R da Silva,0.666,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Dolores M de Castro,0.5416666666666666,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Yolanda Luiz Sicchieri,1.0256666666666667,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Edith Silveira Dalmaso,1.2633333333333334,plataforma SPeak 2025 por semana até semana 43,3
PEI EE DR Antonio Furlan Júnior,1.2016666666666664,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Nícia Fabiola Z. Giraldi,0.6779999999999999,plataforma SPeak 2025 por semana até semana 43,3
EE DR Isaías José Ferreira,0.7116666666666666,plataforma SPeak 2025 por semana até semana 43,3
EE Ferrucio Chiaratti,0.438,plataforma SPeak 2025 por semana até semana 43,3
EE Winston Churchill,1.4426666666666668,plataforma SPeak 2025 por semana até semana 43,3
EE Anna Passamonti Balardin,0.653,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Maria C R S Magon,0.6686666666666667,plataforma SPeak 2025 por semana até semana 43,3
EE Profº Bruno Pieroni,0.9119999999999999,plataforma SPeak 2025 por semana até semana 43,3
EE Profª Maria Elyde M dos Santos,0.9870000000000001,plataforma SPeak 2025 por semana até semana 43,3
EE Odulfo de Oliveira Guimarães,0.5476666666666666,plataforma SPeak 2025 por semana até semana 43,3
